13           # number of species with intial abundances. Wakelam et al., 2008.
HE           9.000000E-02                                                                                                    
H2           5.000000E-01                                                                                                    
C+           1.200000E-04                                                                                                    
N            7.600000E-05                                                                                                    
O            2.560000E-04                                                                                                    
S+           1.500000E-05                                                                                                    
SI+          1.700000E-06                                                                                                    
NA+          2.000000E-07                                                                                                    
MG+          2.400000E-06                                                                                                    
FE+          2.000000E-07                                                                                                    
P+           1.170000E-07                                                                                                    
CL+          1.800000E-07                                                                                                    
E            0.000139797   
